service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1901,0,0,0,0,0,0,0,20220606,20220831
1904,0,0,0,0,0,0,0,20220606,20220831
64701,1,1,1,1,1,0,0,20220606,20220611
64702,1,1,1,1,0,0,0,20220606,20220611
64703,0,1,1,1,1,0,0,20220606,20220611
64704,0,1,1,1,1,0,0,20220606,20220611
64705,0,0,0,0,1,0,0,20220606,20220611
64706,0,0,0,0,0,1,0,20220606,20220611
64707,0,0,0,0,0,1,0,20220606,20220611
64708,0,0,0,0,0,0,1,20220606,20220611
64709,0,0,0,0,0,0,1,20220606,20220611
64710,0,0,1,1,1,1,0,20220606,20220611
64711,0,1,1,1,1,1,0,20220606,20220611
64712,0,1,1,1,1,1,0,20220606,20220611
64713,1,0,0,0,0,0,0,20220606,20220611
64714,1,0,0,0,0,0,0,20220606,20220611
64715,1,0,0,0,0,0,0,20220606,20220611
64716,0,1,0,0,0,0,0,20220606,20220611
64717,0,1,0,0,0,0,0,20220606,20220611
64718,1,0,1,1,1,0,0,20220606,20220611
64719,1,0,1,1,1,0,0,20220606,20220611
64720,0,0,1,0,0,0,0,20220606,20220611
64721,0,0,1,0,0,0,0,20220606,20220611
64722,1,1,0,1,1,0,0,20220606,20220611
64723,1,1,0,1,1,0,0,20220606,20220611
64724,0,0,0,1,0,0,0,20220606,20220611
64725,0,0,0,1,0,0,0,20220606,20220611
64726,1,1,1,0,1,0,0,20220606,20220611
64727,1,1,1,0,1,0,0,20220606,20220611
64728,0,1,1,0,0,0,0,20220606,20220611
64729,0,1,1,0,0,0,0,20220606,20220611
64730,1,0,0,1,1,0,0,20220606,20220611
64731,1,0,0,1,1,0,0,20220606,20220611
64732,1,1,0,0,1,0,0,20220606,20220611
64733,1,1,0,0,1,0,0,20220606,20220611
64734,1,1,1,1,1,0,1,20220606,20220611
64735,1,1,1,1,1,0,1,20220606,20220611
64736,1,1,1,1,1,1,0,20220606,20220611
64737,1,1,1,1,1,1,0,20220606,20220611
64738,1,1,1,1,1,1,0,20220606,20220611
