service_id,date,exception_type
1901,20220616,1
1904,20220626,1
64801,20220704,2
64802,20220704,2
64803,20220704,2
64804,20220705,2
64805,20220704,2
64806,20220704,2
64807,20220705,2
64808,20220705,2
64809,20220704,1
64810,20220705,2
64811,20220704,2
64812,20220705,2
64813,20220704,2
64814,20220705,2
64815,20220705,1
64816,20220704,2
64817,20220705,2
64818,20220704,2
64819,20220705,2
64820,20220704,2
64821,20220705,2
64822,20220704,2
64823,20220705,2
64824,20220704,2
64825,20220705,2
64826,20220704,2
64827,20220705,2
64828,20220704,2
64829,20220705,2
64830,20220704,2
64831,20220705,2
64832,20220704,2
64833,20220705,2
64834,20220704,2
64835,20220705,2
64836,20220704,2
64837,20220705,2
64838,20220705,1
64839,20220705,1
64840,20220704,1
64841,20220704,2
64842,20220705,2
106801,20220704,2
106802,20220704,2
106803,20220704,2
106804,20220705,2
106805,20220704,2
106806,20220704,2
106807,20220705,2
106808,20220705,2
106809,20220704,1
106810,20220705,2
106811,20220704,2
106812,20220705,2
106813,20220704,2
106814,20220705,2
106815,20220705,1
106816,20220704,2
106817,20220705,2
106818,20220704,2
106819,20220705,2
106820,20220704,2
106821,20220705,2
106822,20220704,2
106823,20220705,2
106824,20220704,2
106825,20220705,2
106826,20220704,2
106827,20220705,2
106828,20220704,2
106829,20220705,2
106830,20220704,2
106831,20220705,2
106832,20220704,2
106833,20220705,2
106834,20220704,2
106835,20220705,2
106836,20220704,2
106837,20220705,2
106838,20220705,1
106839,20220705,1
106840,20220704,1
106841,20220704,2
106842,20220705,2
206801,20220704,2
BLS-101,20220402,2
BLS-101,20220403,2
BLS-101,20220404,2
BLS-102,20220401,1
BLS-103,20220402,1
BLS-103,20220403,1
BLS-104,20220404,1
GLS-101,20220611,1
GLS-101,20220612,1
